127.0.0.1 - - [21/Feb/2024:18:39:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:41:24 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:41:25 +0530] "GET /Cssdemo/style.css HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:41:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:42:38 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:42:39 +0530] "GET /Cssdemo/style.css HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:13 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:13 +0530] "GET /Cssdemo/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:49 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:49 +0530] "GET /Cssdemo/style.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:43:58 +0530] "GET /Cssdemo/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:44:11 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:44:11 +0530] "GET /Cssdemo/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:44:50 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:44:51 +0530] "GET /Cssdemo/style.css HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:45:49 +0530] "GET /Cssdemo/style.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:46:05 +0530] "GET /Cssdemo/Myhtml.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:46:06 +0530] "GET /Cssdemo/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:18:46:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
